   787  4.60  -3.07  -4.61  33.55  31.64  8.49  4.01 18.21  9.22   0.00   0.04  -0.04   0.30   0.00   1.98   0.05  -0.05  -0.04  -0.01   0.44   0.04   1.88   0.04   0.02  -0.01   0.00   0.02   0.10  -0.01   1.02   0.03   0.08  -0.01   0.03   0.08  -0.01   0.18   0.02   1.00
  3578  6.96  13.71   4.23 -47.44  -6.75  2.52  2.40  8.10  6.02  -0.34  -0.03  -0.12   0.08  -0.06   1.30  -0.15  -0.22  -0.02  -0.02   0.07   0.09   1.30   0.09   0.02  -0.01  -0.15  -0.03   0.08  -0.05   1.05   0.05   0.08   0.02  -0.07  -0.09  -0.03   0.11   0.06   1.00
  6484  3.97   1.08   4.40   6.69  -6.80  1.78  1.16  4.35  3.15   0.25  -0.07  -0.28   0.41   0.14   1.53  -0.26   0.50  -0.25  -0.09   0.12  -0.50   1.23   0.13   0.02  -0.04   0.11   0.05   0.25   0.04   1.14  -0.04   0.12  -0.03  -0.01   0.05  -0.09   0.22  -0.19   1.00
  7869  4.95   2.72  13.80  -4.18 -29.70  2.05  2.48  4.89  7.29   0.02   0.00  -0.10   0.45   0.02   1.42   0.00  -0.36   0.08   0.00   0.22  -0.02   1.23   0.12   0.02  -0.06   0.05  -0.01   0.24   0.01   1.00   0.02   0.05   0.02  -0.01  -0.11   0.00   0.12   0.00   1.00
 10160  5.20   4.12   2.87  14.28  17.25  2.24  2.08  9.89  6.77  -0.14   0.17  -0.06   0.12   0.37   1.29   0.07   0.06   0.04   0.32   0.28   0.51   1.24   0.13   0.01   0.01  -0.18   0.15   0.06   0.09   1.31   0.05   0.10   0.02   0.02   0.08   0.07   0.14   0.14   1.00
 13683  4.44   1.70  -6.88   8.58  16.21  2.16  1.82  7.39  6.95  -0.34   0.10  -0.13   0.21  -0.01   1.42   0.02  -0.29  -0.06   0.06  -0.07   0.28   1.03  -0.04   0.02  -0.03  -0.13   0.03   0.18   0.03   1.23   0.01  -0.05  -0.01  -0.01  -0.16   0.09   0.05   0.12   1.00
 14832  4.87  -9.62  -4.44  -1.37  32.43  2.29  1.93  9.00  7.82  -0.28  -0.04   0.00   0.24   0.03   1.12   0.10  -0.51  -0.03  -0.04   0.04  -0.10   1.07  -0.18   0.12  -0.05  -0.14   0.01   0.06  -0.01   1.02   0.22  -0.10   0.08  -0.01  -0.21  -0.03   0.06  -0.03   1.00
 15816  3.59   1.29  -2.39  -8.08   2.48  0.98  1.11  2.67  3.40   0.00  -0.30   0.06   1.20  -0.25   1.38  -0.24  -0.30  -0.19   0.01   0.19  -0.08   1.21   0.18  -0.05   0.04  -0.04  -0.20   0.41  -0.08   1.00   0.00   0.03  -0.02  -0.16  -0.17  -0.03   0.22   0.01   1.00
 16468  4.11   8.67   2.13 -12.94 -10.13  2.19  2.26  5.15  6.46   0.00  -0.09  -0.17   0.49   0.01   1.53  -0.08  -0.15  -0.17   0.07   0.29   0.16   1.44   0.12   0.01   0.00   0.03   0.02   0.28   0.06   1.06   0.03   0.10  -0.06   0.01  -0.03   0.10   0.20   0.06   1.00
 16816  4.26   2.49   7.75 -20.78 -25.23  1.76  1.91  5.98  8.63  -0.30  -0.12  -0.22   0.27  -0.17   1.32   0.00  -0.30   0.02  -0.22  -0.14  -0.42   1.14  -0.08   0.09  -0.18   0.00  -0.01   0.21  -0.09   1.30   0.11   0.01   0.14  -0.04  -0.15  -0.15   0.10  -0.11   1.00
 18411  4.49   0.23  -7.26  -7.81  17.63  1.28  1.92  3.69  5.63   0.07  -0.21   0.08   0.28   0.35   1.37  -0.16  -0.11  -0.05   0.27   0.32  -0.09   1.30   0.05   0.04  -0.02  -0.03  -0.03   0.22   0.09   1.02   0.04   0.06   0.05  -0.02  -0.12   0.06   0.14  -0.03   1.00
 18526  4.75  17.49   9.51 -36.19 -18.25  3.15  3.10  8.73 10.04  -0.12   0.01   0.07   0.26   0.06   1.49   0.00  -0.10   0.09   0.05   0.27  -0.17   1.25   0.04   0.00  -0.02  -0.05  -0.03   0.13   0.02   1.12   0.00   0.06   0.02  -0.04  -0.07  -0.03   0.08  -0.06   1.00
 21200  5.59   9.19   6.81 -27.86  -2.65  1.75  1.93  5.54  5.99   0.00  -0.07   0.05   0.10  -0.14   1.25  -0.07  -0.12  -0.09  -0.13   0.09  -0.12   1.11   0.02   0.00   0.01  -0.05  -0.06   0.15  -0.02   1.01   0.00   0.04  -0.04  -0.04  -0.13  -0.06   0.09  -0.02   1.00
 22227  3.73   9.86 -18.32 -57.60  20.24  3.22  2.89 16.00 12.19  -0.51   0.16  -0.15   0.06   0.03   1.11   0.15  -0.36   0.02   0.00   0.15   0.17   1.14   0.05  -0.03   0.01  -0.20   0.03   0.00   0.01   1.06  -0.03   0.08  -0.06  -0.07  -0.18   0.00   0.05   0.03   1.00
 23084  4.87  -0.38 -12.46  13.19  18.34  1.57  2.58  5.97  7.27  -0.28   0.25  -0.20   0.39   0.42   1.21   0.23  -0.24   0.00   0.44   0.21   0.25   1.33   0.17   0.05   0.00   0.04   0.13   0.14   0.13   1.12   0.04   0.20  -0.06   0.10  -0.06   0.14   0.14   0.07   1.00
 24480  4.76  17.00   5.72  -4.87  28.29  3.03  1.58  8.07  6.37  -0.17   0.01  -0.19   0.14  -0.06   1.41   0.03  -0.06  -0.10  -0.12   0.18  -0.22   1.18   0.00   0.06  -0.05  -0.03  -0.01   0.13  -0.05   1.11   0.10   0.10   0.00  -0.02  -0.12  -0.12   0.10  -0.07   1.00
 25071  4.96   4.67  -1.13  -9.66 -28.66  1.24  2.12  3.77  7.66  -0.23   0.01  -0.24   0.18  -0.24   1.19   0.00  -0.30  -0.07  -0.16   0.16  -0.03   1.06   0.05  -0.04  -0.01  -0.11  -0.03   0.18  -0.04   1.00  -0.03  -0.04  -0.03  -0.03  -0.18  -0.05   0.05  -0.01   1.00
 25838  3.56  -1.19   8.31   4.64 -13.72  0.97  1.89  2.77  4.62  -0.14  -0.01  -0.12   0.47  -0.02   1.22  -0.01  -0.35   0.04  -0.02   0.24  -0.04   1.23   0.11   0.04   0.03  -0.05  -0.03   0.27  -0.02   1.00   0.03   0.11  -0.01  -0.02  -0.16  -0.02   0.17   0.01   1.00
 28934  3.66  -6.35  -8.57  10.50  10.58  1.69  2.46  4.61  6.32  -0.03  -0.04  -0.07   0.27   0.02   1.33  -0.03  -0.15  -0.08   0.04   0.11   0.04   1.32   0.03   0.02  -0.06  -0.02  -0.01   0.23  -0.01   1.01   0.02   0.02   0.00  -0.01  -0.10   0.01   0.16   0.03   1.00
 29804  3.51  -5.45   0.25  -4.79 -17.96  1.66  3.08  4.76  6.11   0.13   0.06  -0.13   0.18   0.02   1.18   0.05   0.00  -0.05   0.03   0.44   0.10   1.44   0.09   0.02  -0.01   0.04   0.04   0.15   0.03   1.01   0.01   0.07  -0.04   0.04  -0.01   0.05   0.18   0.02   1.00
