 21464  6.01   7.59  13.47  7.21  4.02   0.04   0.06   0.00   0.03   0.06   1.45   0.05   0.09  -0.06   0.06   0.13   0.26   1.00
 21479  6.83  -4.74   5.01  4.04  4.65   0.58   0.11   0.56  -0.38  -0.02   1.01   0.13   0.28   0.23  -0.18  -0.18  -0.12   1.00
 30827  4.73   8.68  -3.31  4.64  2.90   0.17   0.33   0.09   0.13   0.05   1.70   0.62  -0.05  -0.29   0.13   0.09   1.14   1.00
 34922 17.21  -2.59   7.83  3.69  3.05   0.10   0.04  -0.17   0.05   0.39   1.00   0.04   0.56  -0.17   0.33   0.92   0.21   1.00
 38923  4.20   1.50  -6.85  2.55  2.17   0.28  -0.01  -0.12   0.02  -0.06   1.03  -0.06   0.29  -0.04  -0.07   0.05  -0.14   1.00
 38965  7.11 -14.33   1.10  4.79  6.98   0.23  -0.04   0.13  -0.20  -0.02   1.00  -0.04   0.36   0.04  -0.06   0.00   0.02   1.00
 41201  3.77  16.11 -18.26  7.71  6.39  -0.03   0.02  -0.05   0.11  -0.05   1.31   0.01   0.08  -0.02  -0.02   0.05   0.17   1.00
 44666  3.61  20.62  12.75  6.29  8.80   0.09   0.06  -0.06  -0.03   0.03   1.03   0.02   0.04   0.01   0.05  -0.02  -0.03   1.00
 48036  6.91  -1.82   0.01  0.56  0.24   6.61  -2.09   4.28  -0.88  -0.05   1.13   3.12   5.43  -0.42  -2.28   2.84   4.16   1.00
 50843  7.32  11.07  -7.36  3.33  4.39   0.15  -0.06   0.14   0.29   0.08   1.20  -0.07   0.06   0.11   0.02   0.11  -0.20   1.00
 52599  3.74   5.88   8.86  6.78  6.47  -0.05  -0.06   0.03   0.06   0.03   1.33  -0.09  -0.01   0.06   0.05   0.06   0.19   1.00
 67419  6.42  -5.42  -3.29  2.38  1.04   0.50  -0.21  -0.28   0.29  -0.09   1.00  -0.02   1.04   0.19  -0.05   0.09  -0.15   1.00
 80802  5.02  -1.98 -11.60  2.94  3.17   0.15  -0.05  -0.07  -0.17   0.01   1.02  -0.05   0.14  -0.21   0.02   0.01  -0.08   1.00
 85429  3.64   8.93  -7.61  7.36  6.54   0.37  -0.11  -0.16   0.02  -0.05   1.16  -0.17   0.36   0.04   0.07   0.14  -0.14   1.00
 89276  3.63  -1.17  -5.51  5.32  3.03   0.12  -0.02   0.05   0.07  -0.01   1.23  -0.10   0.20   0.04  -0.10   0.00  -0.41   1.00
 93015  6.29   1.68  -2.14  1.34  1.45   1.31   0.21  -0.64   0.21   0.00   1.02   0.36   1.22   0.18   0.03   0.77  -0.41   1.00
 99653  4.02  -2.79  -3.97  1.55  1.33   0.42   0.00  -0.34   0.08  -0.07   1.00   0.02   0.53   0.06  -0.01  -0.02   0.07   1.00
104451  4.95  -0.72  -0.56  0.37  0.22   6.49  -0.38  -2.77   1.37  -2.21   1.03  -1.15  11.07  -0.19  -0.71   2.72  -2.03   1.00
106583  4.37  -1.01  -1.43  0.95  0.70   1.37   0.20  -0.29   0.20  -0.37   1.00   0.15   1.86  -0.04  -0.23  -0.28   0.18   1.00
107036  3.48  12.70   0.30  3.85  3.38   0.08  -0.03   0.03  -0.06  -0.03   1.02  -0.03   0.13  -0.09  -0.03  -0.20   0.05   1.00
107259  3.64   0.38  -3.25  1.26  0.94   0.03   0.11  -0.27  -0.10   0.15   1.02   0.12  -0.07  -0.40   0.14   0.35  -0.19   1.00
109089  6.58   4.94  12.49  2.38  3.67   0.66  -0.04  -0.14  -0.36   0.10   1.03  -0.22  -0.17  -0.01   0.22   0.06  -0.11   1.00
109340  5.05 -21.91 -11.67  6.89  6.98   0.05  -0.03  -0.04   0.03   0.03   1.04  -0.04   0.08  -0.10   0.02  -0.01  -0.06   1.00
117054 12.48  -0.21  -0.63  0.15  0.09  34.26  -1.61  -8.95  11.05  -0.26   1.28 -22.13  34.63  -3.88  -7.99  15.29 -14.04   1.00
117099  7.76 -29.17  -0.89  5.78  6.65   0.03   0.06  -0.01   0.16  -0.03   1.30   0.06   0.10   0.03   0.04   0.06   0.14   1.00
