   154  4.32  -0.05   1.56  1.76  0.84  -0.19  -0.16  -0.03   1.80  -0.52   1.05  -0.17  -0.69   0.19  -2.59   4.72  -0.88   1.00
   305  8.88  -3.43   8.73  2.27  1.10  -0.23   0.12   0.01   0.22   0.27   1.01   0.24  -0.43  -0.25   0.46   1.07   0.17   1.00
   363  4.28  -4.62   2.68  2.37  1.91  -0.02   0.11   0.00   0.06   0.18   1.08   0.16   0.19  -0.36   0.30   0.41   0.27   1.00
   581  3.83   5.36   2.63  1.50  1.04   0.20  -0.12  -0.04   0.54  -0.25   1.09  -0.32   0.21  -0.19  -0.75   1.63  -0.54   1.00
   602  8.54  -6.14   0.86  2.03  0.82  -0.15   0.23  -0.49   1.40  -0.21   1.04   0.41   0.69  -0.45  -0.41   2.75   0.55   1.00
   695  6.55  -0.87   7.65  1.25  1.59  -0.65  -0.01  -0.14  -0.07   0.05   1.00  -0.06  -0.41  -0.24   0.04  -0.25   0.05   1.00
   730  3.70   2.96  -0.07  1.85  1.73  -0.53   0.09  -0.04   0.29  -0.07   1.05  -0.06  -0.46   0.15   0.04   0.11   0.31   1.00
   886  8.15   6.77   5.63  2.08  1.11  -0.12  -0.04  -0.15  -0.22   0.18   1.02  -0.06  -0.56   0.05   0.29  -0.07   0.20   1.00
   928  4.64  -7.94   0.31  1.51  1.00   0.02   0.07  -0.10   0.56   0.07   1.01   0.08   0.03   0.10  -0.03   0.63  -0.18   1.00
   930  9.13  -2.40  -3.98  2.07  0.87  -0.76   0.25  -0.15   0.52   0.10   1.05   0.38   0.13  -0.16   0.61   2.41   0.67   1.00
   971  8.22   7.72   5.48  1.54  0.99  -0.20   0.04  -0.21   0.26   0.09   1.01   0.08   0.02  -0.19   0.15   1.34  -0.18   1.00
  1103  6.54   5.84   6.69  2.09  1.63   0.28  -0.13  -0.08   0.74  -0.26   1.18  -0.38  -0.15   0.15  -0.95   1.47  -0.59   1.00
  1133 10.93 -15.16  -0.89  1.50  1.00  -0.28   0.00  -0.14   0.19   0.09   1.01   0.00  -0.48  -0.33   0.23   1.85  -0.23   1.00
  1294  5.72  -6.22   6.99  2.98  1.60  -0.03   0.03  -0.07   0.16   0.16   1.00   0.06  -0.15  -0.25   0.42   0.68   0.07   1.00
  1429  5.36  -3.63  -4.15  1.51  1.26  -0.02  -0.21  -0.16   0.98   0.03   1.11  -0.26   0.31  -0.32  -0.78   1.21  -0.57   1.00
  1742  6.35  10.03  13.05  3.19  2.46  -0.21   0.00  -0.05   0.11   0.03   1.01   0.02  -0.26   0.01   0.02   0.13  -0.06   1.00
  1759  4.87  -2.71  -5.08  1.79  1.34  -0.11  -0.07  -0.03   0.70  -0.11   1.01  -0.05  -0.01  -0.18  -0.51   0.42  -0.12   1.00
  1777  5.24  -1.83   5.76  1.05  1.33  -0.28  -0.08  -0.31   0.45  -0.18   1.02  -0.09  -0.15   0.07  -0.10   0.17  -0.16   1.00
  1812  6.04   2.55   4.96  1.85  0.99  -0.06  -0.04  -0.07   0.56  -0.16   1.00  -0.04  -0.03  -0.07  -0.45   0.95   0.07   1.00
  1976 11.86  12.77 -14.36  2.40  1.21  -0.53  -0.05  -0.08   0.03  -0.09   1.08   0.00  -0.31   0.11  -0.21   0.29  -0.33   1.00
  2003  3.62  -4.17   3.72  1.88  1.26  -0.46   0.09   0.01   0.36  -0.01   1.05   0.30   0.08  -0.06  -0.06   1.47  -0.29   1.00
  2086  3.59  -4.21   1.53  1.27  0.89  -0.67   0.09  -0.35   0.24  -0.06   1.05   0.40   0.13  -0.07   0.09   1.78  -0.47   1.00
  2169  5.22  -6.63   4.33  2.45  1.14  -0.43  -0.04   0.02   0.20  -0.26   1.05   0.05  -0.36   0.03  -0.46   0.74  -0.37   1.00
  2180  5.75  -6.19  -3.59  2.05  1.46   0.06   0.01  -0.03   0.00   0.17   1.00   0.00   0.39  -0.32   0.25   0.69   0.03   1.00
  2224  3.79   1.37  -1.81  1.16  0.94   0.31  -0.19  -0.17   0.96  -0.13   1.08  -0.37   1.02  -0.74  -0.67   1.76  -0.79   1.00
  2267  4.06   4.30  -0.78  1.76  1.38  -0.41   0.01  -0.09   0.18   0.00   1.04  -0.13  -0.14  -0.38   0.09   0.39   0.24   1.00
  2383 25.02  -5.30   9.45  0.81  0.69  -1.10  -0.01  -0.12   0.34  -0.07   1.06  -0.24   0.19  -0.28   0.15   0.94   0.76   1.00
  2397 10.13   9.46 -17.76  2.78  2.08   0.01  -0.01  -0.06   0.04  -0.06   1.03  -0.01   0.02  -0.04  -0.10   0.24  -0.13   1.00
  2539  7.30  -5.38   1.75  1.80  1.19   0.01   0.04  -0.19   0.01   0.31   1.02   0.06   0.70  -0.68   0.50   0.88   0.29   1.00
  2552  4.52  12.68   8.17  4.71  4.97  -0.03  -0.03  -0.05   0.18  -0.02   1.01  -0.03  -0.03  -0.05  -0.01   0.14   0.04   1.00
  2557  6.10   5.82   1.28  1.82  1.44  -0.67   0.02  -0.16   0.27   0.07   1.05  -0.06  -0.11  -0.09   0.16   0.28   0.28   1.00
  2856  4.44   8.44  -2.75  2.76  1.25  -0.33   0.00  -0.14  -0.38   0.28   1.00   0.06  -0.03  -0.12   0.40   0.35  -0.04   1.00
  2865  4.92  -5.37  -0.75  1.76  1.11  -0.68   0.16  -0.11  -0.07   0.15   1.00   0.32   0.47  -0.44   0.47   0.67  -0.01   1.00
  3000  5.26  -9.27  12.71  3.02  2.47  -0.01   0.01  -0.12   0.13  -0.11   1.17   0.02  -0.02   0.09  -0.21   0.37  -0.24   1.00
  3405 17.72  -8.73  -0.80  0.83  0.61  -1.46  -0.20  -0.26   0.77  -0.50   1.01  -0.26  -0.27   0.46  -0.50   1.53  -0.36   1.00
  3478  3.74   0.37   1.60  0.61  0.52  -0.13  -0.41  -0.43   1.50   0.43   1.02  -0.67  -0.30  -1.01   1.27   1.62  -0.47   1.00
